frame_id,hand_id,hand_type,finger_id,finger_name,bone_name,start_x,start_y,start_z,end_x,end_y,end_z
43371,36,right,3,Ring,Distal,-102.88,155.83,-157.76,-112.81,152.14,-169.03
43371,36,right,4,Pinky,Metacarpal,-30.21,163.97,-76.20,-67.57,178.16,-112.40
43371,36,right,4,Pinky,Proximal,-67.57,178.16,-112.40,-88.04,179.58,-119.58
43371,36,right,4,Pinky,Intermediate,-88.04,179.58,-119.58,-102.74,181.25,-126.25
43371,36,right,4,Pinky,Distal,-102.74,181.25,-126.25,-112.18,182.74,-131.91
43372,36,right,0,Thumb,Metacarpal,-5.41,154.27,-94.16,-5.41,154.27,-94.16
43372,36,right,0,Thumb,Proximal,-5.41,154.27,-94.16,-1.52,138.74,-135.29
43372,36,right,0,Thumb,Intermediate,-1.52,138.74,-135.29,-2.16,131.39,-158.25
43372,36,right,0,Thumb,Distal,-2.16,131.39,-158.25,-4.66,127.51,-174.06
43372,36,right,1,Index,Metacarpal,-17.48,146.34,-92.02,-44.26,152.16,-154.49
43372,36,right,1,Index,Proximal,-44.26,152.16,-154.49,-59.36,147.07,-180.02
43372,36,right,1,Index,Intermediate,-59.36,147.07,-180.02,-68.71,143.66,-197.87
43372,36,right,1,Index,Distal,-68.71,143.66,-197.87,-76.04,142.17,-212.59
43372,36,right,2,Middle,Metacarpal,-24.81,148.40,-89.92,-56.91,158.19,-145.22
43372,36,right,2,Middle,Proximal,-56.91,158.19,-145.22,-80.64,152.12,-169.05
43372,36,right,2,Middle,Intermediate,-80.64,152.12,-169.05,-97.43,147.95,-187.09
43372,36,right,2,Middle,Distal,-97.43,147.95,-187.09,-108.40,146.38,-200.88
43372,36,right,3,Ring,Metacarpal,-32.27,155.58,-85.83,-67.01,168.55,-130.54
43372,36,right,3,Ring,Proximal,-67.01,168.55,-130.54,-91.63,161.13,-148.37
43372,36,right,3,Ring,Intermediate,-91.63,161.13,-148.37,-105.87,155.70,-159.86
43372,36,right,3,Ring,Distal,-105.87,155.70,-159.86,-115.89,151.93,-170.85
43372,36,right,4,Pinky,Metacarpal,-32.77,165.00,-79.42,-70.38,178.53,-115.37
43372,36,right,4,Pinky,Proximal,-70.38,178.53,-115.37,-90.96,179.45,-122.35
43372,36,right,4,Pinky,Intermediate,-90.96,179.45,-122.35,-105.83,180.71,-128.83
43372,36,right,4,Pinky,Distal,-105.83,180.71,-128.83,-115.48,182.00,-134.39
43373,36,right,0,Thumb,Metacarpal,-7.72,155.39,-97.26,-7.72,155.39,-97.26
43373,36,right,0,Thumb,Proximal,-7.72,155.39,-97.26,-3.58,139.23,-138.33
43373,36,right,0,Thumb,Intermediate,-3.58,139.23,-138.33,-4.18,131.49,-161.24
43373,36,right,0,Thumb,Distal,-4.18,131.49,-161.24,-6.75,127.28,-177.03
43373,36,right,1,Index,Metacarpal,-19.74,147.32,-95.07,-46.51,152.45,-157.51
43373,36,right,1,Index,Proximal,-46.51,152.45,-157.51,-61.52,147.10,-182.98
43373,36,right,1,Index,Intermediate,-61.52,147.10,-182.98,-70.77,143.55,-200.82
43373,36,right,1,Index,Distal,-70.77,143.55,-200.82,-77.95,141.95,-215.52
43373,36,right,2,Middle,Metacarpal,-27.07,149.28,-93.01,-59.21,158.36,-148.32
43373,36,right,2,Middle,Proximal,-59.21,158.36,-148.32,-83.08,152.16,-172.06
43373,36,right,2,Middle,Intermediate,-83.08,152.16,-172.06,-100.04,147.84,-189.97
43373,36,right,2,Middle,Distal,-100.04,147.84,-189.97,-111.12,146.09,-203.61
43373,36,right,3,Ring,Metacarpal,-34.55,156.36,-88.96,-69.36,168.66,-133.70
43373,36,right,3,Ring,Proximal,-69.36,168.66,-133.70,-94.15,161.19,-151.56
